Region,Hotspot_Days,Total_Fire_Count,Mean_HCHO_mol_m2,Pearson_r,Pearson_p,Peak_HCHO_Date,Mean_FRP_MW,Consensus_Hotspot_Pct
SW Punjab (Bathinda-Muktsar),10,22562.0,0.00024213988,0.40494594,0.02150164,2023-11-01,9.347238,77.5
Central Punjab Valley (Ludhiana-Patiala),9,11452.0,0.00022373704,0.2441321,0.17812417,2023-11-01,8.726231,97.91666666666666
S Haryana (Hisar-Karnal),16,8849.0,0.00025344652,0.44259876,0.0111918105,2023-10-31,7.015524,98.4375
W Uttar Pradesh (Saharanpur-Meerut),18,1714.0,0.00023940166,-0.06694649,0.715822,2023-11-07,3.6358633,95.0
